,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
47,456.64300000000003,6,8.6,4.37,0.8,-22.5,3.0625,-39.25,0.4588888888888889,0.13111111111111112,-0.20222222222222222,352.5625,64.875,-83.0,194232320.0,88621056.0,-162250752.0,12566528.0,-0.27,0.24,0.3,8.88,4.12,0.5
48,466.594,9,8.52,4.45,0.71,-22.5,3.0625,-39.25,0.4622222222222222,0.13444444444444445,-0.20555555555555555,352.4375,64.6875,-83.0625,194183168.0,89227264.0,-161939456.0,12746752.0,-0.34,0.3,0.21,8.86,4.15,0.5
49,477.713,11,8.65,4.45,0.78,-22.5,3.0625,-39.25,0.48777777777777775,0.14333333333333334,-0.2111111111111111,352.3125,64.5625,-83.1875,194150400.0,89849856.0,-161628160.0,12959744.0,-0.2,0.27,0.28,8.85,4.17,0.49
50,487.644,9,8.6,4.47,0.73,-22.5,3.0625,-39.25,0.5277777777777778,0.15666666666666668,-0.21666666666666667,352.1875,64.4375,-83.25,194084864.0,90505216.0,-161316864.0,13189120.0,-0.24,0.26,0.23,8.84,4.2,0.49
51,499.736,12,8.52,4.49,0.69,-22.5,2.5625,-38.6875,0.5688888888888889,0.17888888888888888,-0.2222222222222222,352.0625,64.25,-83.375,194019328.0,91209728.0,-160972800.0,13467648.0,-0.31,0.27,0.2,8.83,4.22,0.48
52,506.72499999999997,6,8.53,4.67,0.69,-22.5,2.5625,-38.6875,0.62,0.2,-0.23,351.875,64.0625,-83.5,193953792.0,91979776.0,-160579584.0,13762560.0,-0.28,0.41,0.2,8.82,4.25,0.48
53,517.51,10,8.5,4.75,0.61,-22.5,2.5625,-38.6875,0.68,0.22666666666666666,-0.24333333333333335,351.625,63.875,-83.5625,193888256.0,92815360.0,-160169984.0,14090240.0,-0.3,0.47,0.13,8.8,4.28,0.47
54,527.6410000000001,10,8.49,4.74,0.64,-22.5,2.5625,-38.6875,0.7122222222222222,0.2644444444444444,-0.2544444444444444,351.4375,63.6875,-83.6875,193822720.0,93700096.0,-159694848.0,14450688.0,-0.3,0.42,0.16,8.79,4.31,0.47
55,537.9730000000001,10,8.4,4.72,0.58,-22.5,2.5625,-38.6875,0.7466666666666667,0.3011111111111111,-0.2677777777777778,351.1875,63.5,-83.75,193757184.0,94617600.0,-159203328.0,14843904.0,-0.37,0.37,0.11,8.77,4.34,0.47
56,549.731,11,8.38,4.81,0.55,-23.25,1.0,-39.1875,0.7944444444444444,0.33555555555555555,-0.2877777777777778,350.9375,63.25,-83.875,193691648.0,95584256.0,-158646272.0,15269888.0,-0.37,0.42,0.08,8.76,4.38,0.46
57,557.373,7,8.34,4.87,0.49,-23.25,1.0,-39.1875,0.8677777777777778,0.36333333333333334,-0.3055555555555556,350.6875,63.0625,-83.9375,193609728.0,96649216.0,-158056448.0,15728640.0,-0.39,0.46,0.03,8.74,4.41,0.46
58,567.14,9,8.3,4.9,0.53,-23.25,1.0,-39.1875,0.9233333333333333,0.3977777777777778,-0.32666666666666666,350.375,62.8125,-84.0625,193527808.0,97763328.0,-157417472.0,16236544.0,-0.42,0.44,0.07,8.72,4.45,0.45
59,577.747,10,8.22,4.86,0.45,-23.25,1.0,-39.1875,0.9711111111111111,0.4311111111111111,-0.34444444444444444,350.0625,62.5625,-84.1875,193429504.0,98942976.0,-156745728.0,16793600.0,-0.47,0.36,0.0,8.7,4.49,0.45
